date,open,high,low,close,adj_close,volume,daily_return,log_return,ma_7,ma_20,vol_7,vol_20,rsi_14,drawdown
1996-01-01 00:00:00+05:30,7.319124221801758,7.358397006988525,7.270925045013428,7.345901012420654,3.35359263420105,104121369,,,,,,,,0.0
1996-01-02 00:00:00+05:30,7.328050136566162,7.363752841949463,7.235221862792969,7.28877592086792,3.3275129795074463,168743308,-0.007776458116730112,-0.007806852443160999,,,,,,-0.007776458116730089
1996-01-03 00:00:00+05:30,7.40838098526001,7.74577522277832,7.328050136566162,7.3441162109375,3.352778196334839,209323879,0.007592535519049148,0.007563857290085351,,,,,,-0.00024296563214458032
1996-01-04 00:00:00+05:30,7.2744951248168945,7.297701835632324,7.178096771240234,7.276279926300049,3.3218092918396,216900264,-0.009236820699599413,-0.009279744652956728,,,,,,-0.009477542101763718
1996-01-05 00:00:00+05:30,7.24771785736084,7.24771785736084,7.163815975189209,7.226295948028564,3.298989534378052,166708467,-0.006869441359838135,-0.006893144586456076,,,,,,-0.016281878041898352
1996-01-08 00:00:00+05:30,7.212015151977539,7.21737003326416,6.865694999694824,6.937100887298584,3.1669650077819824,186974245,-0.04001981967108281,-0.04084264022408747,,,,,,-0.05565009988983784
1996-01-09 00:00:00+05:30,6.731809139251709,6.854983806610107,6.506879806518555,6.73716402053833,3.075688600540161,388766555,-0.02882138662943856,-0.029244879748688325,7.165090560913086,,,,,-0.08286757347438452
1996-01-10 00:00:00+05:30,6.605062961578369,6.763940811157227,6.533657073974609,6.564003944396973,2.9966371059417725,276606655,-0.025702220639645557,-0.026038293768922395,7.053390979766846,,0.01655188166456963,,,-0.10643991345671937
1996-01-11 00:00:00+05:30,6.49795389175415,6.8014302253723145,6.489027976989746,6.769297122955322,3.090358257293701,409645726,0.0312756025586467,0.03079648508211188,6.979179722922189,,0.02435726621153828,,,-0.0784932833277217
1996-01-12 00:00:00+05:30,6.819281101226807,6.871050834655762,6.653262138366699,6.6978912353515625,3.057759046554565,374687924,-0.010548493633351641,-0.010604523360116719,6.886861869267055,,0.02303596916257512,,,-0.08821379106162999
1996-01-15 00:00:00+05:30,6.678254127502441,6.712172031402588,6.590782165527344,6.628270149230957,3.0259757041931152,199981539,-0.010394478452134925,-0.01044887834397493,6.79428904397147,,0.02300738364055017,,,-0.0976913331633937
